,Gross domestic product 2018,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
USA,1,,United States," 20,494,100 ",
CHN,2,,China," 13,608,152 ",
JPN,3,,Japan," 4,970,916 ",
DEU,4,,Germany," 3,996,759 ",
GBR,5,,United Kingdom," 2,825,208 ",
FRA,6,,France," 2,777,535 ",
IND,7,,India," 2,726,323 ",
ITA,8,,Italy," 2,073,902 ",
BRA,9,,Brazil," 1,868,626 ",
CAN,10,,Canada," 1,712,510 ",
RUS,11,,Russian Federation," 1,657,554 ",a
KOR,12,,"Korea, Rep."," 1,619,424 ",
AUS,13,,Australia," 1,432,195 ",
ESP,14,,Spain," 1,426,189 ",
MEX,15,,Mexico," 1,223,809 ",
IDN,16,,Indonesia," 1,042,173 ",
NLD,17,,Netherlands," 913,658 ",
SAU,18,,Saudi Arabia," 782,483 ",
TUR,19,,Turkey," 766,509 ",
CHE,20,,Switzerland," 705,501 ",
POL,21,,Poland," 585,783 ",
SWE,22,,Sweden," 551,032 ",
BEL,23,,Belgium," 531,767 ",
ARG,24,,Argentina," 518,475 ",b
THA,25,,Thailand," 504,993 ",
AUT,26,,Austria," 455,737 ",
IRN,27,,"Iran, Islamic Rep."," 454,013 ",
NOR,28,,Norway," 434,751 ",
ARE,29,,United Arab Emirates," 414,179 ",
NGA,30,,Nigeria," 397,270 ",
IRL,31,,Ireland," 382,487 ",
ISR,32,,Israel," 369,690 ",
ZAF,33,,South Africa," 366,298 ",
SGP,34,,Singapore," 364,157 ",
HKG,35,,"Hong Kong SAR, China"," 362,993 ",
MYS,36,,Malaysia," 354,348 ",
DNK,37,,Denmark," 352,058 ",
PHL,38,,Philippines," 330,910 ",
COL,39,,Colombia," 330,228 ",
PAK,40,,Pakistan," 312,570 ",
CHL,41,,Chile," 298,231 ",
BGD,42,,Bangladesh," 274,025 ",
FIN,43,,Finland," 273,961 ",
EGY,44,,"Egypt, Arab Rep."," 250,895 ",
CZE,45,,Czech Republic," 245,226 ",
VNM,46,,Vietnam," 244,948 ",
ROU,47,,Romania," 239,553 ",
PRT,48,,Portugal," 237,979 ",
IRQ,49,,Iraq," 225,914 ",
PER,50,,Peru," 222,238 ",
GRC,51,,Greece," 218,032 ",
NZL,52,,New Zealand," 205,025 ",
QAT,53,,Qatar," 192,009 ",
DZA,54,,Algeria," 180,689 ",
KAZ,55,,Kazakhstan," 170,539 ",
HUN,56,,Hungary," 155,703 ",
KWT,57,,Kuwait," 141,678 ",
UKR,58,,Ukraine," 130,832 ",a
MAR,59,,Morocco," 118,495 ",c
ECU,60,,Ecuador," 108,398 ",
SVK,61,,Slovak Republic," 106,472 ",
AGO,62,,Angola," 105,751 ",
PRI,63,,Puerto Rico," 101,131 ",
CUB,64,,Cuba," 96,851 ",
LKA,65,,Sri Lanka," 88,901 ",
KEN,66,,Kenya," 87,908 ",
ETH,67,,Ethiopia," 84,355 ",
DOM,68,,Dominican Republic," 81,299 ",
OMN,69,,Oman," 79,295 ",
GTM,70,,Guatemala," 78,460 ",
MMR,71,,Myanmar," 71,215 ",
LUX,72,,Luxembourg," 69,488 ",
GHA,73,,Ghana," 65,556 ",
BGR,74,,Bulgaria," 65,133 ",
PAN,75,,Panama," 65,055 ",
HRV,76,,Croatia," 60,806 ",
CRI,77,,Costa Rica," 60,126 ",
BLR,78,,Belarus," 59,662 ",
URY,79,,Uruguay," 59,597 ",
TZA,80,,Tanzania," 57,437 ",d
LBN,81,,Lebanon," 56,639 ",
MAC,82,,"Macao SAR, China"," 54,545 ",
SVN,83,,Slovenia," 54,235 ",
LTU,84,,Lithuania," 53,251 ",
SRB,85,,Serbia," 50,508 ",
UZB,86,,Uzbekistan," 50,500 ",
LBY,87,,Libya," 48,320 ",
COD,88,,"Congo, Dem. Rep."," 47,228 ",
AZE,89,,Azerbaijan," 46,940 ",
CIV,90,,Cote d'Ivoire," 43,007 ",
JOR,91,,Jordan," 42,291 ",
SDN,92,,Sudan," 40,852 ",
PRY,93,,Paraguay," 40,842 ",
TKM,94,,Turkmenistan," 40,761 ",
BOL,95,,Bolivia," 40,288 ",
TUN,96,,Tunisia," 39,861 ",
CMR,97,,Cameroon," 38,502 ",
BHR,98,,Bahrain," 37,746 ",
LVA,99,,Latvia," 34,849 ",
ZWE,100,,Zimbabwe," 31,001 ",
EST,101,,Estonia," 30,285 ",
NPL,102,,Nepal," 28,812 ",
UGA,103,,Uganda," 27,477 ",
YEM,104,,"Yemen, Rep."," 26,914 ",
ZMB,105,,Zambia," 26,720 ",
SLV,106,,El Salvador," 26,057 ",
ISL,107,,Iceland," 25,882 ",
KHM,108,,Cambodia," 24,572 ",
CYP,109,,Cyprus," 24,470 ",e
SEN,110,,Senegal," 24,130 ",
HND,111,,Honduras," 23,803 ",
PNG,112,,Papua New Guinea," 23,432 ",
TTO,113,,Trinidad and Tobago," 23,410 ",
BIH,114,,Bosnia and Herzegovina," 19,782 ",
AFG,115,,Afghanistan," 19,363 ",
BWA,116,,Botswana," 18,616 ",
LAO,117,,Lao PDR," 18,131 ",
MLI,118,,Mali," 17,197 ",
GAB,119,,Gabon," 17,017 ",
GEO,120,,Georgia," 16,210 ",f
JAM,121,,Jamaica," 15,718 ",
ALB,122,,Albania," 15,059 ",
PSE,123,,West Bank and Gaza," 14,616 ",
MLT,124,,Malta," 14,542 ",
NAM,125,,Namibia," 14,522 ",
MOZ,126,,Mozambique," 14,458 ",
BFA,127,,Burkina Faso," 14,442 ",
MUS,128,,Mauritius," 14,220 ",
BRN,129,,Brunei Darussalam," 13,567 ",
GNQ,130,,Equatorial Guinea," 13,317 ",
NIC,131,,Nicaragua," 13,118 ",
