"자치구별(1)",자치구별(2),1981,1981,1981,1981,1981,1981,1981,1981,1981,1982,1982,1982,1982,1982,1982,1982,1982,1982,1983,1983,1983,1983,1983,1983,1983,1983,1983,1985,1985,1985,1985,1985,1985,1985,1985,1985,1986,1986,1986,1986,1986,1986,1986,1986,1986,1987,1987,1987,1987,1987,1987,1987,1987,1987,1988,1988,1988,1988,1988,1988,1988,1988,1988,1989,1989,1989,1989,1989,1989,1989,1989,1989,1990,1990,1990,1990,1990,1990,1990,1990,1990,1991,1991,1991,1991,1991,1991,1991,1991,1991,1992,1992,1992,1992,1992,1992,1992,1992,1992,1993,1993,1993,1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"자치구별(1)",자치구별(2),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),입학자수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),입학자수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),입학자수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),입학자수 (명),입학자수 (명),입학자수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),입학자수 (명),입학자수 (명),입학자수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),입학자수 (명),입학자수 (명),입학자수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),입학자수 (명),입학자수 (명),입학자수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),입학자수 (명),입학자수 (명),입학자수 (명),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),입학자수 (명),입학자수 (명),입학자수 (명),교실수 (개)
"자치구별(1)",자치구별(2),소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계
"합계",종로구,14,544,33646,17713,15933,586,260,326,511,14,541,32307,16944,15363,594,245,349,504,14,534,29797,15650,14147,593,236,357,498,14,476,24100,12561,11539,540,201,339,473,15,474,23008,12054,10954,518,189,329,471,15,469,21967,11396,10571,533,182,351,466,15,449,21114,11019,10095,522,172,350,449,15,444,20439,10689,9750,510,171,339,467,14,430,19670,10321,9349,496,168,328,435,14,412,18371,9691,8680,488,174,314,420,14,385,16850,8833,8017,465,165,300,393,14,370,15252,7992,7260,466,169,297,381,14,372,14013,7322,6691,472,159,313,372,14,352,12804,6742,6062,464,152,312,355,14,346,11654,6095,5559,446,143,303,345,14,347,11345,5941,5404,450,150,300,346,15,358,11403,6000,5403,463,141,322,354,14,340,11182,5909,5273,420,126,294,336,14,354,11671,6148,5523,448,123,325,365,14,354,11801,6147,5654,445,127,318,364,14,357,11775,6156,5619,448,124,324,369,14,360,11565,6091,5474,456,113,343,365,14,366,11256,5973,5283,452,104,348,377,14,362,10683,5593,5090,456,106,350,380,14,355,10154,5352,4802,459,86,373,378,14,346,9712,5122,4590,456,88,368,377,14,344,9370,4963,4407,473,91,382,358,14,337,8860,4682,4178,487,94,393,344,14,324,8266,4329,3937,496,84,412,344,14,315,7714,4035,3679,497,76,421,336,14,310,7140,3741,3399,489,70,419,324,14,304,6561,3466,3095,502,73,429,980,323,14,294,6233,3297,2936,489,70,419,1052,307,14,288,6084,3200,2884,475,61,414,979,391,13,268,5686,2969,2717,451,59,392,875,455,420,366,13,276,5561,2864,2697,466,69,397,927,461,466,369,13,277,5507,2844,2663,446,61,385,861,442,419,374,13,274,5463,2790,2673,439,64,375,946,480,466,370,13,269,5192,2634,2558,452,62,390,764,381,383,379,13,267,5072,2555,2517,448,69,379,772,375,397,376
"합계",중구,13,573,34760,18346,16414,611,253,358,525,13,551,32957,17440,15517,597,237,360,524,13,548,30890,16286,14604,601,223,378,522,13,481,25295,13431,11864,541,181,360,481,13,487,24223,12831,11392,534,179,355,487,13,487,23179,12179,11000,545,177,368,487,13,471,22530,11773,10757,537,183,354,471,12,456,21523,11237,10286,515,171,344,456,12,440,20699,10777,9922,496,164,332,440,12,425,19712,10201,9511,487,158,329,419,12,402,18045,9347,8698,478,162,316,402,12,381,16525,8544,7981,470,158,312,381,12,371,14929,7720,7209,453,145,308,372,12,348,13625,7063,6562,440,140,300,348,12,330,12355,6489,5866,412,136,276,330,12,331,11589,6122,5467,407,136,271,330,12,329,11232,5915,5317,408,118,290,335,12,321,11129,5848,5281,389,113,276,322,12,342,11693,6083,5610,425,112,313,358,12,361,12411,6468,5943,437,114,323,369,12,365,12186,6341,5845,440,116,324,371,12,364,11831,6114,5717,445,119,326,371,12,363,11293,5863,5430,446,117,329,389,12,358,10714,5494,5220,442,113,329,381,11,331,9634,4959,4675,414,91,323,344,12,320,9142,4692,4450,412,87,325,336,12,311,8804,4507,4297,439,94,345,326,12,301,8167,4179,3988,457,86,371,308,12,283,7417,3796,3621,428,74,354,295,12,275,6948,3580,3368,440,81,359,292,12,273,6512,3339,3173,424,73,351,293,12,268,6066,3077,2989,427,78,349,949,290,12,254,5854,2945,2909,417,70,347,1090,274,12,247,5739,2857,2882,412,65,347,978,418,12,244,5474,2700,2774,405,61,344,882,443,439,409,12,247,5283,2613,2670,398,63,335,858,444,414,394,12,246,5226,2557,2669,398,63,335,897,442,455,394,12,246,5181,2544,2637,401,59,342,925,463,462,390,12,243,4990,2468,2522,393,63,330,901,455,446,386,12,239,4808,2386,2422,382,55,327,817,412,405,377
"합계",용산구,16,714,43860,23129,20731,752,311,441,620,15,707,42407,22330,20077,767,302,465,630,16,708,39713,20867,18846,775,286,489,654,16,640,33129,17406,15723,715,239,476,633,16,646,30767,16123,14644,705,229,476,642,16,623,29274,15248,14026,701,225,476,615,16,602,28372,14807,13565,693,220,473,611,16,586,27080,14162,12918,662,209,453,596,16,558,25550,13359,12191,637,194,443,560,16,528,23827,12520,11307,616,194,422,522,16,493,21654,11338,10316,596,194,402,502,16,463,19091,9952,9139,578,193,385,476,15,426,16511,8575,7936,533,170,363,435,15,401,15110,7844,7266,518,150,368,403,15,399,13767,7233,6534,504,154,350,400,15,396,13103,6901,6202,500,158,342,395,14,386,12794,6676,6118,483,127,356,385,15,401,13699,7188,6511,492,119,373,400,15,407,13763,7247,6516,505,105,400,408,15,423,14256,7486,6770,523,117,406,434,15,439,14315,7478,6837,537,123,414,443,15,436,13810,7195,6615,542,115,427,440,15,448,13371,7029,6342,554,112,442,469,15,439,12878,6786,6092,557,103,454,475,15,434,12759,6708,6051,563,78,485,473,15,433,12361,6499,5862,584,66,518,459,15,427,11807,6187,5620,607,77,530,455,15,411,11318,5911,5407,619,81,538,434,15,406,10501,5440,5061,624,77,547,426,15,400,9925,5090,4835,626,76,550,426,15,392,9423,4864,4559,628,77,551,426,15,389,8763,4522,4241,627,70,557,1408,424,15,375,8529,4363,4166,615,71,544,1593,355,15,369,8210,4159,4051,612,71,541,1417,500,15,366,7923,4052,3871,604,73,531,1285,657,628,509,15,359,7624,3906,3718,581,65,516,1250,630,620,510,15,357,7460,3833,3627,578,68,510,1225,648,577,506,15,358,7273,3726,3547,580,64,516,1260,647,613,501,15,351,6870,3498,3372,568,61,507,1087,548,539,512,15,347,6656,3428,3228,585,61,524,1099,561,538,512
"합계",성동구,21,1387,88202,46200,42002,1451,494,957,1082,23,1408,86605,45262,41343,1514,522,992,1154,26,1491,84436,44090,40346,1605,538,1067,1234,31,1368,75976,39573,36403,1534,512,1022,1319,31,1403,75132,39207,35925,1527,494,1033,1331,31,1425,75166,39082,36084,1592,499,1093,1368,32,1471,75656,39503,36153,1678,505,1173,1421,32,1499,75890,39499,36391,1688,496,1192,1435,33,1518,75664,39502,36162,1739,505,1234,1481,33,1512,74197,38386,35811,1752,491,1261,1474,33,1471,70386,36718,33668,1763,467,1296,1448,33,1433,64801,33808,30993,1748,464,1284,1422,33,1422,60329,31436,28893,1770,451,1319,1415,15,613,24728,12785,11943,765,188,577,613,15,613,22790,11779,11011,762,187,575,613,15,611,21930,11398,10532,773,192,581,611,15,608,21881,11373,10508,764,190,574,609,15,629,22167,11553,10614,759,177,582,635,15,635,23648,12388,11260,787,178,609,635,15,669,24426,12844,11582,819,166,653,663,15,669,24055,12743,11312,817,166,651,670,16,695,24009,12644,11365,860,171,689,701,16,704,23023,12039,10984,857,154,703,728,17,700,22407,11670,10737,870,148,722,742,18,696,21672,11154,10518,877,145,732,750,18,683,20879,10729,10150,896,148,748,741,18,659,19640,10010,9630,895,137,758,727,19,639,18193,9305,8888,913,132,781,669,20,646,17202,8747,8455,950,136,814,699,20,625,16002,8137,7865,968,123,845,687,20,613,14734,7514,7220,975,122,853,685,20,588,13713,6989,6724,956,122,834,2214,678,20,581,13174,6641,6533,946,118,828,2404,643,20,569,12641,6420,6221,939,115,824,2150,833,21,577,12352,6303,6049,963,111,852,1995,1008,987,885,21,581,12047,6150,5897,954,119,835,2105,1091,1014,884,21,585,11922,6068,5854,972,124,848,2109,1075,1034,868,21,576,11789,5950,5839,936,124,812,2152,1069,1083,862,21,566,10992,5590,5402,919,117,802,1926,1002,924,853,21,550,10555,5391,5164,897,110,787,1886,976,910,840
"합계",광진구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,741,31215,16365,14850,933,244,689,732,18,746,29689,15524,14165,930,244,686,730,18,746,29460,15406,14054,939,248,691,729,19,760,29574,15517,14057,945,257,688,757,20,766,29959,15694,14265,927,231,696,769,20,768,29926,15729,14197,948,221,727,768,20,774,30349,15944,14405,947,218,729,777,20,776,30365,15887,14478,960,217,743,778,20,784,30500,15909,14591,973,214,759,800,21,831,29375,15233,14142,1017,227,790,851,22,839,28389,14757,13632,1031,220,811,864,22,834,27384,14186,13198,1049,203,846,857,22,827,26297,13634,12663,1046,189,857,871,22,805,24717,12803,11914,1075,187,888,826,22,753,22405,11620,10785,1054,178,876,762,22,733,20720,10834,9886,1062,158,904,748,22,718,19073,9924,9149,1069,159,910,749,22,691,17675,9111,8564,1051,152,899,738,22,674,16482,8487,7995,1025,131,894,2693,724,22,664,16086,8180,7906,1040,140,900,2819,720,22,663,15760,8045,7715,1049,141,908,2606,933,22,655,15327,7787,7540,1041,143,898,2434,1257,1177,924,22,652,15029,7726,7303,1034,141,893,2560,1360,1200,926,22,656,15016,7669,7347,1020,138,882,2494,1248,1246,932,22,649,14977,7707,7270,1018,139,879,2603,1352,1251,929,22,639,14257,7322,6935,998,144,854,2250,1127,1123,904,22,623,13742,7048,6694,961,145,816,2146,1118,1028,901
"합계",동대문구,28,1851,117537,61808,55729,1931,729,1202,1462,28,1839,116280,60994,55286,1969,716,1253,1477,29,1909,110455,57894,52561,2040,706,1334,1538,34,1775,99741,52203,47538,1968,628,1340,1678,34,1791,98446,51358,47088,1938,587,1351,1696,34,1823,97428,50733,46695,2022,590,1432,1710,20,1011,52821,27623,25198,1137,347,790,968,19,991,49862,25932,23930,1111,318,793,938,19,987,48963,25442,23521,1121,318,803,931,20,973,46553,24097,22456,1137,314,823,961,20,933,43781,22687,21094,1122,309,813,932,20,899,39972,20781,19191,1106,289,817,899,20,877,36138,18861,17277,1075,296,779,877,20,802,32760,17139,15621,1001,265,736,801,20,797,29700,15683,14017,980,271,709,796,20,790,27786,14722,13064,972,261,711,789,20,770,27062,14267,12795,950,250,700,768,20,750,26704,14143,12561,890,239,651,754,20,734,26436,14034,12402,900,217,683,764,20,746,27325,14465,12860,912,209,703,787,20,759,27462,14443,13019,923,202,721,786,20,767,27184,14295,12889,940,199,741,788,20,782,26752,14049,12703,953,200,753,825,20,786,25250,13222,12028,969,192,777,819,21,794,24246,12586,11660,998,192,806,845,21,785,23165,11995,11170,1006,174,832,843,21,769,21970,11384,10586,1006,177,829,837,21,741,20388,10448,9940,1014,172,842,795,21,717,18771,9630,9141,1016,169,847,765,21,692,17687,9064,8623,1021,165,856,745,21,676,16516,8488,8028,1003,159,844,735,21,662,15439,7872,7567,982,154,828,2504,713,21,637,15110,7792,7318,976,149,827,2693,668,21,629,14916,7705,7211,975,137,838,2597,913,21,615,14212,7349,6863,951,125,826,2347,1217,1130,909,21,609,13930,7215,6715,938,116,822,2394,1215,1179,906,21,621,13721,7093,6628,968,117,851,2309,1191,1118,897,21,619,13684,7086,6598,937,118,819,2325,1199,1126,903,21,603,13157,6809,6348,932,124,808,2127,1118,1009,900,21,596,12792,6639,6153,911,132,779,2167,1107,1060,909
"합계",중랑구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,827,44916,23254,21662,932,246,686,737,14,849,45674,23875,21799,945,248,697,738,14,857,45521,23725,21796,962,242,720,738,15,877,44671,23237,21434,1011,248,763,773,15,861,43236,22518,20718,1020,244,776,788,15,846,40567,21064,19503,1023,242,781,781,16,842,38163,19807,18356,1022,254,768,798,16,829,36315,18858,17457,1036,245,791,795,19,925,36653,19034,17619,1139,273,866,914,19,962,37752,19587,18165,1179,290,889,935,20,985,37666,19575,18091,1216,300,916,970,20,969,37939,19857,18082,1161,288,873,958,21,980,37687,19762,17925,1211,264,947,971,21,998,37493,19783,17710,1214,258,956,1006,21,1001,36312,19090,17222,1204,250,954,1010,21,1007,35465,18598,16867,1223,250,973,1009,21,1016,33894,17799,16095,1217,242,975,1038,22,1015,32074,16844,15230,1214,233,981,1048,22,994,30318,15919,14399,1243,226,1017,1013,22,956,28603,15024,13579,1242,215,1027,989,22,920,26572,13949,12623,1240,216,1024,949,22,864,24391,12819,11572,1211,215,996,871,22,834,22540,11734,10806,1183,191,992,826,22,806,20781,10764,10017,1180,187,993,838,22,775,19027,9902,9125,1167,177,990,813,22,740,17369,8968,8401,1146,163,983,2752,775,23,728,16801,8645,8156,1141,163,978,2884,790,23,718,16472,8404,8068,1127,153,974,2837,973,23,699,15779,8054,7725,1103,149,954,2597,1299,1298,964,23,700,15419,7906,7513,1087,157,930,2654,1353,1301,970,23,701,15336,7847,7489,1070,164,906,2656,1369,1287,973,23,704,15176,7764,7412,1071,173,898,2722,1419,1303,984,23,696,14554,7440,7114,1067,173,894,2377,1219,1158,987,23,689,13862,7119,6743,1042,156,886,2215,1127,1088,975
