"년도","총인구","남자","여자"
1960,25012374,12550691,12461683
1961,25765673,12936583,12829090
1962,26513030,13320983,13192047
1963,27261747,13708120,13553627
1964,27984155,14081950,13902205
1965,28704674,14452831,14251843
1966,29435571,14829861,14605710
1967,30130983,15205393,14925590
1968,30838302,15576098,15262204
1969,31544266,15940965,15603301
1970,32240827,16308607,15932220
1971,32882704,16648884,16233820
1972,33505406,16955438,16549968
1973,34103149,17234877,16868272
1974,34692266,17514223,17178043
1975,35280725,17765828,17514897
1976,35848523,18058503,17790020
1977,36411795,18349416,18062379
1978,36969185,18637254,18331931
1979,37534236,18929361,18604875
1980,38123775,19235736,18888039
1981,38723248,19535680,19187568
1982,39326352,19837392,19488960
1983,39910403,20129120,19781283
1984,40405956,20375175,20030781
1985,40805744,20575600,20230144
1986,41213674,20771997,20441677
1987,41621690,20959980,20661710
1988,42031247,21155226,20876021
1989,42449038,21357389,21091649
1990,42869283,21568181,21301102
1991,43295704,21783914,21511790
1992,43747962,22013655,21734307
1993,44194628,22242554,21952074
1994,44641540,22472496,22169044
1995,45092991,22705329,22387662
1996,45524681,22924512,22600169
1997,45953580,23148092,22805488
1998,46286503,23295727,22990776
1999,46616677,23457837,23158840
2000,47008111,23666769,23341342
2001,47370164,23854971,23515193
2002,47644736,23991377,23653359
2003,47892330,24120872,23771458
2004,48082519,24210740,23871779
2005,48184561,24243234,23941327
2006,48438292,24369561,24068731
2007,48683638,24491190,24192448
2008,49054708,24671648,24383060
2009,49307835,24774341,24533494
2010,49554112,24881114,24672998
2011,49936638,25069867,24866771
2012,50199853,25187380,25012473
2013,50428893,25285319,25143574
2014,50746659,25445077,25301582
2015,51014947,25585894,25429053
2016,51217803,25670949,25546854
2017,51361911,25736793,25625118
2018,51606633,25863502,25743131
2019,51709098,25913295,25795803
2020,51780579,25945737,25834842
