"행정구역","2008년_계_총인구수","2008년_계_연령구간인구수","2008년_계_0~9세","2008년_계_10~19세","2008년_계_20~29세","2008년_계_30~39세","2008년_계_40~49세","2008년_계_50~59세","2008년_계_60~69세","2008년_계_70~79세","2008년_계_80~89세","2008년_계_90~99세","2008년_계_100세 이상","2008년_남_총인구수","2008년_남_연령구간인구수","2008년_남_0~9세","2008년_남_10~19세","2008년_남_20~29세","2008년_남_30~39세","2008년_남_40~49세","2008년_남_50~59세","2008년_남_60~69세","2008년_남_70~79세","2008년_남_80~89세","2008년_남_90~99세","2008년_남_100세 이상","2008년_여_총인구수","2008년_여_연령구간인구수","2008년_여_0~9세","2008년_여_10~19세","2008년_여_20~29세","2008년_여_30~39세","2008년_여_40~49세","2008년_여_50~59세","2008년_여_60~69세","2008년_여_70~79세","2008년_여_80~89세","2008년_여_90~99세","2008년_여_100세 이상","2009년_계_총인구수","2009년_계_연령구간인구수","2009년_계_0~9세","2009년_계_10~19세","2009년_계_20~29세","2009년_계_30~39세","2009년_계_40~49세","2009년_계_50~59세","2009년_계_60~69세","2009년_계_70~79세","2009년_계_80~89세","2009년_계_90~99세","2009년_계_100세 이상","2009년_남_총인구수","2009년_남_연령구간인구수","2009년_남_0~9세","2009년_남_10~19세","2009년_남_20~29세","2009년_남_30~39세","2009년_남_40~49세","2009년_남_50~59세","2009년_남_60~69세","2009년_남_70~79세","2009년_남_80~89세","2009년_남_90~99세","2009년_남_100세 이상","2009년_여_총인구수","2009년_여_연령구간인구수","2009년_여_0~9세","2009년_여_10~19세","2009년_여_20~29세","2009년_여_30~39세","2009년_여_40~49세","2009년_여_50~59세","2009년_여_60~69세","2009년_여_70~79세","2009년_여_80~89세","2009년_여_90~99세","2009년_여_100세 이상"
"전국  (0000000000)","49,540,367","49,540,367","5,096,863","6,824,922","7,225,638","8,470,294","8,671,848","6,140,573","3,964,796","2,333,042","726,164","83,892","2,335","24,822,897","24,822,897","2,647,788","3,608,254","3,727,944","4,320,946","4,410,221","3,078,799","1,869,267","925,456","216,374","17,593","255","24,717,470","24,717,470","2,449,075","3,216,668","3,497,694","4,149,348","4,261,627","3,061,774","2,095,529","1,407,586","509,790","66,299","2,080","49,773,145","49,773,145","4,922,969","6,811,650","7,028,262","8,371,533","8,729,495","6,508,077","4,047,492","2,477,437","783,005","90,626","2,599","24,929,939","24,929,939","2,553,592","3,599,148","3,636,509","4,269,498","4,439,164","3,261,648","1,920,187","997,027","233,278","19,527","361","24,843,206","24,843,206","2,369,377","3,212,502","3,391,753","4,102,035","4,290,331","3,246,429","2,127,305","1,480,410","549,727","71,099","2,238"
"서울특별시  (1100000000)","10,200,827","10,200,827","930,515","1,273,921","1,701,253","1,888,662","1,721,870","1,341,904","827,725","381,508","118,466","14,592","411","5,061,809","5,061,809","480,828","669,914","844,653","964,702","852,139","650,194","401,879","159,039","35,212","3,197","52","5,139,018","5,139,018","449,687","604,007","856,600","923,960","869,731","691,710","425,846","222,469","83,254","11,395","359","10,208,302","10,208,302","898,116","1,259,471","1,641,530","1,877,265","1,724,937","1,398,666","854,162","410,441","127,449","15,794","471","5,059,269","5,059,269","463,335","661,712","816,567","955,372","856,086","676,233","413,754","174,395","38,116","3,623","76","5,149,033","5,149,033","434,781","597,759","824,963","921,893","868,851","722,433","440,408","236,046","89,333","12,171","395"
"부산광역시  (2600000000)","3,564,577","3,564,577","295,585","465,555","547,510","549,690","626,029","541,589","327,651","160,737","45,839","4,275","117","1,773,154","1,773,154","153,939","250,231","282,949","278,418","305,539","266,497","158,167","64,355","12,275","779","5","1,791,423","1,791,423","141,646","215,324","264,561","271,272","320,490","275,092","169,484","96,382","33,564","3,496","112","3,543,030","3,543,030","282,560","454,929","523,221","541,448","614,657","560,978","338,206","172,518","49,811","4,570","132","1,761,202","1,761,202","146,683","244,690","271,470","274,548","300,525","274,985","163,497","70,306","13,610","877","11","1,781,828","1,781,828","135,877","210,239","251,751","266,900","314,132","285,993","174,709","102,212","36,201","3,693","121"
"대구광역시  (2700000000)","2,492,724","2,492,724","243,689","367,756","363,215","407,995","456,905","321,346","192,853","105,937","29,895","3,047","86","1,246,873","1,246,873","128,282","201,741","190,798","202,082","225,694","158,210","89,294","41,694","8,512","554","12","1,245,851","1,245,851","115,407","166,015","172,417","205,913","231,211","163,136","103,559","64,243","21,383","2,493","74","2,489,781","2,489,781","233,190","363,636","351,588","399,383","454,978","339,607","198,254","113,754","31,987","3,309","95","1,243,878","1,243,878","122,461","198,747","186,090","197,688","224,441","166,867","92,401","45,344","9,211","617","11","1,245,903","1,245,903","110,729","164,889","165,498","201,695","230,537","172,740","105,853","68,410","22,776","2,692","84"
"인천광역시  (2800000000)","2,692,696","2,692,696","282,010","395,667","402,627","468,951","511,496","320,145","178,327","98,187","31,632","3,562","92","1,356,473","1,356,473","146,064","206,337","207,510","238,795","260,097","164,499","85,098","37,856","9,385","822","10","1,336,223","1,336,223","135,946","189,330","195,117","230,156","251,399","155,646","93,229","60,331","22,247","2,740","82","2,710,579","2,710,579","272,841","392,359","395,087","463,963","513,082","345,805","184,863","104,258","34,285","3,924","112","1,364,809","1,364,809","141,013","205,211","203,364","237,071","259,668","177,446","89,029","40,962","10,086","935","24","1,345,770","1,345,770","131,828","187,148","191,723","226,892","253,414","168,359","95,834","63,296","24,199","2,989","88"
"광주광역시  (2900000000)","1,422,702","1,422,702","165,726","228,874","215,825","243,262","241,756","155,911","98,980","53,158","17,013","2,131","66","705,817","705,817","86,287","119,515","109,374","121,454","120,486","76,151","46,633","20,789","4,782","340","6","716,885","716,885","79,439","109,359","106,451","121,808","121,270","79,760","52,347","32,369","12,231","1,791","60","1,433,640","1,433,640","160,342","230,782","209,763","243,409","243,933","165,033","102,913","56,448","18,628","2,312","77","711,091","711,091","83,426","120,595","106,793","121,172","121,742","80,661","48,520","22,416","5,379","381","6","722,549","722,549","76,916","110,187","102,970","122,237","122,191","84,372","54,393","34,032","13,249","1,931","71"
"대전광역시  (3000000000)","1,480,895","1,480,895","165,185","223,036","226,246","259,751","261,080","174,724","97,456","54,040","17,290","2,036","51","741,611","741,611","85,737","118,337","115,894","129,764","130,139","88,022","46,494","21,435","5,331","453","5","739,284","739,284","79,448","104,699","110,352","129,987","130,941","86,702","50,962","32,605","11,959","1,583","46","1,484,180","1,484,180","158,921","222,266","219,582","254,538","263,615","186,117","100,726","57,685","18,461","2,201","68","743,121","743,121","82,380","117,622","113,206","127,410","131,284","93,346","48,464","23,255","5,647","498","9","741,059","741,059","76,541","104,644","106,376","127,128","132,331","92,771","52,262","34,430","12,814","1,703","59"
"울산광역시  (3100000000)","1,112,407","1,112,407","123,828","177,287","160,327","192,904","218,035","135,463","63,038","30,589","9,861","1,059","16","572,815","572,815","65,341","96,462","86,015","96,799","112,192","70,616","31,398","11,533","2,282","177","0","539,592","539,592","58,487","80,825","74,312","96,105","105,843","64,847","31,640","19,056","7,579","882","16","1,114,866","1,114,866","118,517","175,764","156,423","188,527","219,004","146,156","66,177","32,652","10,464","1,161","21","573,607","573,607","62,367","95,536","84,136","94,990","112,018","75,969","33,286","12,686","2,438","181","0","541,259","541,259","56,150","80,228","72,287","93,537","106,986","70,187","32,891","19,966","8,026","980","21"
"경기도  (4100000000)","11,292,264","11,292,264","1,329,090","1,634,134","1,587,704","2,118,019","2,087,212","1,229,523","737,590","423,231","130,225","15,131","405","5,690,673","5,690,673","687,066","853,402","808,244","1,069,026","1,079,916","631,839","346,583","170,939","40,151","3,457","50","5,601,591","5,601,591","642,024","780,732","779,460","1,048,993","1,007,296","597,684","391,007","252,292","90,074","11,674","355","11,460,610","11,460,610","1,294,934","1,652,626","1,567,006","2,098,445","2,136,831","1,339,447","759,538","452,551","142,030","16,740","462","5,773,569","5,773,569","668,710","863,173","800,560","1,059,189","1,100,203","689,154","359,518","185,246","43,796","3,946","74","5,687,041","5,687,041","626,224","789,453","766,446","1,039,256","1,036,628","650,293","400,020","267,305","98,234","12,794","388"
"강원도  (4200000000)","1,508,575","1,508,575","148,237","198,539","196,588","225,353","258,752","198,190","151,034","95,832","31,807","4,123","120","759,282","759,282","77,203","104,323","106,622","116,951","133,463","100,443","70,685","38,601","9,872","1,100","19","749,293","749,293","71,034","94,216","89,966","108,402","125,289","97,747","80,349","57,231","21,935","3,023","101","1,512,870","1,512,870","142,407","198,882","190,738","220,593","257,661","213,025","149,139","102,056","33,824","4,412","133","761,270","761,270","74,150","104,478","103,650","114,317","133,334","107,888","70,133","41,836","10,293","1,159","32","751,600","751,600","68,257","94,404","87,088","106,276","124,327","105,137","79,006","60,220","23,531","3,253","101"
