"행정구역","2014년_계_총인구수","2014년_계_연령구간인구수","2014년_계_0~9세","2014년_계_10~19세","2014년_계_20~29세","2014년_계_30~39세","2014년_계_40~49세","2014년_계_50~59세","2014년_계_60~69세","2014년_계_70~79세","2014년_계_80~89세","2014년_계_90~99세","2014년_계_100세 이상","2014년_남_총인구수","2014년_남_연령구간인구수","2014년_남_0~9세","2014년_남_10~19세","2014년_남_20~29세","2014년_남_30~39세","2014년_남_40~49세","2014년_남_50~59세","2014년_남_60~69세","2014년_남_70~79세","2014년_남_80~89세","2014년_남_90~99세","2014년_남_100세 이상","2014년_여_총인구수","2014년_여_연령구간인구수","2014년_여_0~9세","2014년_여_10~19세","2014년_여_20~29세","2014년_여_30~39세","2014년_여_40~49세","2014년_여_50~59세","2014년_여_60~69세","2014년_여_70~79세","2014년_여_80~89세","2014년_여_90~99세","2014년_여_100세 이상","2015년_계_총인구수","2015년_계_연령구간인구수","2015년_계_0~9세","2015년_계_10~19세","2015년_계_20~29세","2015년_계_30~39세","2015년_계_40~49세","2015년_계_50~59세","2015년_계_60~69세","2015년_계_70~79세","2015년_계_80~89세","2015년_계_90~99세","2015년_계_100세 이상","2015년_남_총인구수","2015년_남_연령구간인구수","2015년_남_0~9세","2015년_남_10~19세","2015년_남_20~29세","2015년_남_30~39세","2015년_남_40~49세","2015년_남_50~59세","2015년_남_60~69세","2015년_남_70~79세","2015년_남_80~89세","2015년_남_90~99세","2015년_남_100세 이상","2015년_여_총인구수","2015년_여_연령구간인구수","2015년_여_0~9세","2015년_여_10~19세","2015년_여_20~29세","2015년_여_30~39세","2015년_여_40~49세","2015년_여_50~59세","2015년_여_60~69세","2015년_여_70~79세","2015년_여_80~89세","2015년_여_90~99세","2015년_여_100세 이상"
"전국  (0000000000)","51,327,916","51,327,916","4,591,374","5,988,904","6,642,044","7,811,847","8,930,216","8,216,161","4,706,108","3,146,604","1,124,143","155,509","15,006","25,669,296","25,669,296","2,363,080","3,130,485","3,490,614","3,985,799","4,544,382","4,137,985","2,284,239","1,341,009","351,569","36,634","3,500","25,658,620","25,658,620","2,228,294","2,858,419","3,151,430","3,826,048","4,385,834","4,078,176","2,421,869","1,805,595","772,574","118,875","11,506","51,529,338","51,529,338","4,601,688","5,717,089","6,699,048","7,670,966","8,858,993","8,324,791","5,073,279","3,176,437","1,225,210","165,628","16,209","25,758,186","25,758,186","2,365,981","2,980,812","3,527,813","3,919,396","4,505,612","4,196,330","2,462,313","1,366,101","391,673","38,373","3,782","25,771,152","25,771,152","2,235,707","2,736,277","3,171,235","3,751,570","4,353,381","4,128,461","2,610,966","1,810,336","833,537","127,255","12,427"
"서울특별시  (1100000000)","10,103,233","10,103,233","793,992","1,044,513","1,457,951","1,713,666","1,729,469","1,604,160","980,220","568,848","177,339","28,404","4,671","4,979,768","4,979,768","407,662","541,899","728,892","861,605","865,039","779,817","467,767","259,471","58,891","7,516","1,209","5,123,465","5,123,465","386,330","502,614","729,059","852,061","864,430","824,343","512,453","309,377","118,448","20,888","3,462","10,022,181","10,022,181","783,299","985,790","1,447,221","1,668,253","1,701,609","1,588,333","1,037,752","582,367","192,801","29,719","5,037","4,930,943","4,930,943","401,797","510,041","723,200","837,657","849,573","773,917","492,879","266,597","66,262","7,727","1,293","5,091,238","5,091,238","381,502","475,749","724,021","830,596","852,036","814,416","544,873","315,770","126,539","21,992","3,744"
"부산광역시  (2600000000)","3,519,401","3,519,401","263,767","366,769","456,897","504,816","576,487","630,397","401,805","235,574","72,728","8,754","1,407","1,740,417","1,740,417","135,643","193,460","240,890","257,595","286,145","305,016","194,049","103,080","22,299","1,932","308","1,778,984","1,778,984","128,124","173,309","216,007","247,221","290,342","325,381","207,756","132,494","50,429","6,822","1,099","3,513,777","3,513,777","267,227","345,503","456,514","493,958","568,218","619,703","432,899","239,641","79,128","9,497","1,489","1,735,570","1,735,570","137,437","181,499","240,807","252,411","282,846","299,943","207,555","105,634","25,040","2,078","320","1,778,207","1,778,207","129,790","164,004","215,707","241,547","285,372","319,760","225,344","134,007","54,088","7,419","1,169"
"대구광역시  (2700000000)","2,493,264","2,493,264","208,524","307,096","323,936","353,237","446,088","415,681","235,408","148,568","48,605","5,620","501","1,241,119","1,241,119","107,712","163,373","178,208","176,611","219,647","204,976","111,805","62,202","15,276","1,202","107","1,252,145","1,252,145","100,812","143,723","145,728","176,626","226,441","210,705","123,603","86,366","33,329","4,418","394","2,487,829","2,487,829","208,115","289,590","326,755","342,633","438,674","419,653","253,693","148,884","53,282","6,007","543","1,237,291","1,237,291","107,230","153,618","179,517","172,408","216,253","206,822","120,190","62,625","17,216","1,292","120","1,250,538","1,250,538","100,885","135,972","147,238","170,225","222,421","212,831","133,503","86,259","36,066","4,715","423"
"인천광역시  (2800000000)","2,902,608","2,902,608","270,156","339,868","398,391","461,260","521,070","482,300","232,989","138,554","49,951","7,451","618","1,459,074","1,459,074","138,692","176,355","207,147","236,690","263,092","245,430","115,448","59,111","15,031","1,917","161","1,443,534","1,443,534","131,464","163,513","191,244","224,570","257,978","236,870","117,541","79,443","34,920","5,534","457","2,925,815","2,925,815","271,758","324,530","402,113","455,898","516,105","494,119","255,834","142,147","54,650","7,960","701","1,469,869","1,469,869","139,490","167,985","209,317","234,355","260,769","251,005","126,517","61,342","16,942","1,959","188","1,455,946","1,455,946","132,268","156,545","192,796","221,543","255,336","243,114","129,317","80,805","37,708","6,001","513"
"광주광역시  (2900000000)","1,475,884","1,475,884","145,156","207,671","197,540","227,820","260,090","212,836","119,644","74,942","26,232","3,653","300","731,339","731,339","74,962","107,786","102,607","114,241","129,505","104,883","56,741","31,890","8,003","690","31","744,545","744,545","70,194","99,885","94,933","113,579","130,585","107,953","62,903","43,052","18,229","2,963","269","1,472,199","1,472,199","143,700","197,005","198,686","221,036","258,049","217,366","127,348","76,489","28,346","3,860","314","729,662","729,662","74,210","102,409","103,425","110,965","128,541","107,153","60,367","32,892","8,925","742","33","742,537","742,537","69,490","94,596","95,261","110,071","129,508","110,213","66,981","43,597","19,421","3,118","281"
"대전광역시  (3000000000)","1,531,809","1,531,809","148,662","196,196","210,031","237,696","271,600","237,648","124,378","74,926","26,713","3,699","260","766,497","766,497","76,570","102,568","110,952","119,280","135,742","118,688","60,980","32,273","8,495","891","58","765,312","765,312","72,092","93,628","99,079","118,416","135,858","118,960","63,398","42,653","18,218","2,808","202","1,518,775","1,518,775","145,049","184,964","210,749","228,720","267,008","238,664","134,281","76,136","29,005","3,918","281","759,778","759,778","74,578","96,384","111,865","115,320","133,408","119,006","65,693","33,110","9,414","938","62","758,997","758,997","70,471","88,580","98,884","113,400","133,600","119,658","68,588","43,026","19,591","2,980","219"
"울산광역시  (3100000000)","1,166,377","1,166,377","114,860","148,060","156,137","182,664","216,238","196,210","90,542","44,785","14,847","1,906","128","600,904","600,904","59,477","78,992","87,089","95,170","108,594","101,344","46,606","19,272","4,024","311","25","565,473","565,473","55,383","69,068","69,048","87,494","107,644","94,866","43,936","25,513","10,823","1,595","103","1,173,534","1,173,534","116,241","139,958","158,615","180,833","211,988","201,390","100,468","45,817","16,011","2,074","139","604,889","604,889","60,066","74,447","89,039","94,855","106,106","104,156","51,359","19,968","4,524","343","26","568,645","568,645","56,175","65,511","69,576","85,978","105,882","97,234","49,109","25,849","11,487","1,731","113"
"세종특별자치시  (3600000000)","156,125","156,125","19,524","17,155","17,532","27,648","26,757","20,781","12,369","9,688","4,081","556","34","78,862","78,862","9,934","8,831","9,138","13,782","14,620","11,005","6,031","4,098","1,282","131","10","77,263","77,263","9,590","8,324","8,394","13,866","12,137","9,776","6,338","5,590","2,799","425","24","210,884","210,884","29,825","23,398","23,043","40,025","37,370","25,872","15,614","10,351","4,718","634","34","105,752","105,752","15,240","11,944","11,763","19,508","20,059","13,541","7,687","4,376","1,492","133","9","105,132","105,132","14,585","11,454","11,280","20,517","17,311","12,331","7,927","5,975","3,226","501","25"
"경기도  (4100000000)","12,357,830","12,357,830","1,243,973","1,533,881","1,608,430","1,991,551","2,303,367","1,896,033","936,958","599,700","210,845","30,333","2,759","6,219,813","6,219,813","638,761","796,331","835,647","1,008,909","1,170,831","976,022","457,911","258,459","68,300","7,909","733","6,138,017","6,138,017","605,212","737,550","772,783","982,642","1,132,536","920,011","479,047","341,241","142,545","22,424","2,026","12,522,606","12,522,606","1,251,234","1,479,739","1,644,870","1,969,170","2,302,937","1,962,003","1,027,712","616,198","232,931","32,804","3,008","6,299,812","6,299,812","642,120","766,451","857,498","999,370","1,168,724","1,007,720","503,469","268,417","76,988","8,263","792","6,222,794","6,222,794","609,114","713,288","787,372","969,800","1,134,213","954,283","524,243","347,781","155,943","24,541","2,216"
"강원도  (4200000000)","1,544,442","1,544,442","124,511","178,979","181,760","194,502","252,750","267,736","160,635","130,099","45,895","7,021","554","778,007","778,007","64,254","93,758","102,066","100,337","131,738","136,082","77,750","55,905","13,958","1,965","194","766,435","766,435","60,257","85,221","79,694","94,165","121,012","131,654","82,885","74,194","31,937","5,056","360","1,549,507","1,549,507","123,275","171,073","184,802","189,754","250,407","269,286","171,452","131,730","49,542","7,578","608","781,434","781,434","63,336","89,415","104,877","98,138","130,578","136,762","83,587","57,032","15,458","2,046","205","768,073","768,073","59,939","81,658","79,925","91,616","119,829","132,524","87,865","74,698","34,084","5,532","403"
"충청북도  (4300000000)","1,578,933","1,578,933","142,815","188,890","194,013","220,756","265,726","255,182","146,731","115,403","43,469","5,548","400","796,141","796,141","73,354","98,939","105,713","114,478","137,391","130,943","72,136","48,350","13,435","1,298","104","782,792","782,792","69,461","89,951","88,300","106,278","128,335","124,239","74,595","67,053","30,034","4,250","296","1,583,952","1,583,952","142,319","179,628","196,456","216,258","262,133","260,270","158,194","114,586","47,691","5,977","440","798,896","798,896","73,009","93,906","107,205","112,674","135,414","133,653","77,967","48,557","15,013","1,384","114","785,056","785,056","69,310","85,722","89,251","103,584","126,719","126,617","80,227","66,029","32,678","4,593","326"
"충청남도  (4400000000)","2,062,273","2,062,273","196,099","237,378","242,365","300,806","333,778","313,612","196,659","163,686","68,455","8,814","621","1,045,892","1,045,892","101,233","123,913","129,974","160,297","177,993","162,479","96,409","68,246","23,157","2,071","120","1,016,381","1,016,381","94,866","113,465","112,391","140,509","155,785","151,133","100,250","95,440","45,298","6,743","501","2,077,649","2,077,649","197,236","229,214","244,233","296,909","333,108","318,857","212,781","160,439","74,759","9,433","680","1,054,439","1,054,439","101,794","119,378","131,431","158,611","177,468","165,711","104,778","67,559","25,365","2,199","145","1,023,210","1,023,210","95,442","109,836","112,802","138,298","155,640","153,146","108,003","92,880","49,394","7,234","535"
"전라북도  (4500000000)","1,871,560","1,871,560","161,307","228,459","217,542","239,288","303,136","293,042","198,061","157,179","64,428","8,515","603","931,536","931,536","83,302","118,591","116,121","124,210","158,133","148,974","96,057","63,889","20,333","1,810","116","940,024","940,024","78,005","109,868","101,421","115,078","145,003","144,068","102,004","93,290","44,095","6,705","487","1,869,711","1,869,711","159,824","217,813","218,698","232,517","299,535","295,583","210,933","155,007","70,437","8,725","639","930,255","930,255","82,336","113,044","116,922","120,425","156,279","150,533","102,698","63,646","22,384","1,866","122","939,456","939,456","77,488","104,769","101,776","112,092","143,256","145,050","108,235","91,361","48,053","6,859","517"
