"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~9세","2016년_계_10~19세","2016년_계_20~29세","2016년_계_30~39세","2016년_계_40~49세","2016년_계_50~59세","2016년_계_60~69세","2016년_계_70~79세","2016년_계_80~89세","2016년_계_90~99세","2016년_계_100세 이상","2016년_남_총인구수","2016년_남_연령구간인구수","2016년_남_0~9세","2016년_남_10~19세","2016년_남_20~29세","2016년_남_30~39세","2016년_남_40~49세","2016년_남_50~59세","2016년_남_60~69세","2016년_남_70~79세","2016년_남_80~89세","2016년_남_90~99세","2016년_남_100세 이상","2016년_여_총인구수","2016년_여_연령구간인구수","2016년_여_0~9세","2016년_여_10~19세","2016년_여_20~29세","2016년_여_30~39세","2016년_여_40~49세","2016년_여_50~59세","2016년_여_60~69세","2016년_여_70~79세","2016년_여_80~89세","2016년_여_90~99세","2016년_여_100세 이상","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~9세","2017년_계_10~19세","2017년_계_20~29세","2017년_계_30~39세","2017년_계_40~49세","2017년_계_50~59세","2017년_계_60~69세","2017년_계_70~79세","2017년_계_80~89세","2017년_계_90~99세","2017년_계_100세 이상","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~9세","2017년_남_10~19세","2017년_남_20~29세","2017년_남_30~39세","2017년_남_40~49세","2017년_남_50~59세","2017년_남_60~69세","2017년_남_70~79세","2017년_남_80~89세","2017년_남_90~99세","2017년_남_100세 이상","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~9세","2017년_여_10~19세","2017년_여_20~29세","2017년_여_30~39세","2017년_여_40~49세","2017년_여_50~59세","2017년_여_60~69세","2017년_여_70~79세","2017년_여_80~89세","2017년_여_90~99세","2017년_여_100세 이상","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~9세","2018년_계_10~19세","2018년_계_20~29세","2018년_계_30~39세","2018년_계_40~49세","2018년_계_50~59세","2018년_계_60~69세","2018년_계_70~79세","2018년_계_80~89세","2018년_계_90~99세","2018년_계_100세 이상","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~9세","2018년_남_10~19세","2018년_남_20~29세","2018년_남_30~39세","2018년_남_40~49세","2018년_남_50~59세","2018년_남_60~69세","2018년_남_70~79세","2018년_남_80~89세","2018년_남_90~99세","2018년_남_100세 이상","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~9세","2018년_여_10~19세","2018년_여_20~29세","2018년_여_30~39세","2018년_여_40~49세","2018년_여_50~59세","2018년_여_60~69세","2018년_여_70~79세","2018년_여_80~89세","2018년_여_90~99세","2018년_여_100세 이상","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~9세","2019년_계_10~19세","2019년_계_20~29세","2019년_계_30~39세","2019년_계_40~49세","2019년_계_50~59세","2019년_계_60~69세","2019년_계_70~79세","2019년_계_80~89세","2019년_계_90~99세","2019년_계_100세 이상","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_0~9세","2019년_남_10~19세","2019년_남_20~29세","2019년_남_30~39세","2019년_남_40~49세","2019년_남_50~59세","2019년_남_60~69세","2019년_남_70~79세","2019년_남_80~89세","2019년_남_90~99세","2019년_남_100세 이상","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_0~9세","2019년_여_10~19세","2019년_여_20~29세","2019년_여_30~39세","2019년_여_40~49세","2019년_여_50~59세","2019년_여_60~69세","2019년_여_70~79세","2019년_여_80~89세","2019년_여_90~99세","2019년_여_100세 이상","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2020년_계_20~29세","2020년_계_30~39세","2020년_계_40~49세","2020년_계_50~59세","2020년_계_60~69세","2020년_계_70~79세","2020년_계_80~89세","2020년_계_90~99세","2020년_계_100세 이상","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_남_10~19세","2020년_남_20~29세","2020년_남_30~39세","2020년_남_40~49세","2020년_남_50~59세","2020년_남_60~69세","2020년_남_70~79세","2020년_남_80~89세","2020년_남_90~99세","2020년_남_100세 이상","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세","2020년_여_10~19세","2020년_여_20~29세","2020년_여_30~39세","2020년_여_40~49세","2020년_여_50~59세","2020년_여_60~69세","2020년_여_70~79세","2020년_여_80~89세","2020년_여_90~99세","2020년_여_100세 이상","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~9세","2021년_계_10~19세","2021년_계_20~29세","2021년_계_30~39세","2021년_계_40~49세","2021년_계_50~59세","2021년_계_60~69세","2021년_계_70~79세","2021년_계_80~89세","2021년_계_90~99세","2021년_계_100세 이상","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_0~9세","2021년_남_10~19세","2021년_남_20~29세","2021년_남_30~39세","2021년_남_40~49세","2021년_남_50~59세","2021년_남_60~69세","2021년_남_70~79세","2021년_남_80~89세","2021년_남_90~99세","2021년_남_100세 이상","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_0~9세","2021년_여_10~19세","2021년_여_20~29세","2021년_여_30~39세","2021년_여_40~49세","2021년_여_50~59세","2021년_여_60~69세","2021년_여_70~79세","2021년_여_80~89세","2021년_여_90~99세","2021년_여_100세 이상"
"서울특별시  (1100000000)","9,930,616","9,930,616","761,314","934,205","1,442,701","1,620,974","1,678,172","1,570,037","1,076,270","602,541","207,716","31,211","5,475","4,876,789","4,876,789","390,234","482,451","719,783","812,434","834,115","768,802","510,048","275,842","73,628","8,046","1,406","5,053,827","5,053,827","371,080","451,754","722,918","808,540","844,057","801,235","566,222","326,699","134,088","23,165","4,069","9,857,426","9,857,426","728,462","894,656","1,447,115","1,579,189","1,647,989","1,553,543","1,109,052","635,309","223,113","33,479","5,519","4,830,206","4,830,206","373,353","461,597","720,019","790,867","818,309","759,316","525,418","290,349","81,165","8,485","1,328","5,027,220","5,027,220","355,109","433,059","727,096","788,322","829,680","794,227","583,634","344,960","141,948","24,994","4,191","9,765,623","9,765,623","690,368","855,121","1,449,790","1,548,770","1,590,374","1,546,954","1,142,415","660,825","238,869","36,294","5,843","4,773,899","4,773,899","353,981","440,320","716,197","774,185","789,945","756,599","540,814","301,846","89,309","9,253","1,450","4,991,724","4,991,724","336,387","414,801","733,593","774,585","800,429","790,355","601,601","358,979","149,560","27,041","4,393","9,729,107","9,729,107","662,693","819,571","1,456,623","1,509,959","1,560,983","1,539,968","1,189,802","684,087","259,487","39,690","6,244","4,744,059","4,744,059","340,334","421,339","713,660","754,830","773,528","754,442","562,796","311,890","99,231","10,413","1,596","4,985,048","4,985,048","322,359","398,232","742,963","755,129","787,455","785,526","627,006","372,197","160,256","29,277","4,648","9,668,465","9,668,465","623,745","781,866","1,460,411","1,475,106","1,528,182","1,523,556","1,243,954","704,076","278,094","42,683","6,792","4,701,723","4,701,723","320,275","401,285","707,669","737,901","756,950","748,582","587,294","320,416","108,339","11,221","1,791","4,966,742","4,966,742","303,470","380,581","752,742","737,205","771,232","774,974","656,660","383,660","169,755","31,462","5,001","9,509,458","9,509,458","583,683","756,136","1,422,277","1,439,279","1,480,780","1,507,194","1,285,922","695,800","295,009","41,735","1,643","4,618,040","4,618,040","299,764","387,691","684,530","718,763","733,371","742,757","607,114","316,508","116,524","10,637","381","4,891,418","4,891,418","283,919","368,445","737,747","720,516","747,409","764,437","678,808","379,292","178,485","31,098","1,262"
"서울특별시 종로구 (1111000000)","152,737","152,737","9,039","13,546","23,270","21,063","25,422","25,323","17,535","11,899","4,584","836","220","75,201","75,201","4,632","6,961","11,801","10,421","12,516","12,937","8,449","5,320","1,795","296","73","77,536","77,536","4,407","6,585","11,469","10,642","12,906","12,386","9,086","6,579","2,789","540","147","154,770","154,770","9,003","12,978","23,907","21,433","25,072","25,857","18,058","12,439","4,922","875","226","75,967","75,967","4,576","6,586","12,163","10,650","12,263","13,125","8,780","5,528","1,920","310","66","78,803","78,803","4,427","6,392","11,744","10,783","12,809","12,732","9,278","6,911","3,002","565","160","153,065","153,065","8,588","12,383","23,765","21,231","23,849","25,744","18,581","12,517","5,216","960","231","74,825","74,825","4,380","6,258","11,927","10,523","11,606","12,931","9,157","5,576","2,060","334","73","78,240","78,240","4,208","6,125","11,838","10,708","12,243","12,813","9,424","6,941","3,156","626","158","151,290","151,290","8,211","11,748","23,572","20,376","23,077","25,714","19,128","12,538","5,673","1,000","253","73,746","73,746","4,143","5,932","11,684","10,086","11,222","12,932","9,486","5,552","2,274","353","82","77,544","77,544","4,068","5,816","11,888","10,290","11,855","12,782","9,642","6,986","3,399","647","171","149,384","149,384","7,527","11,013","23,416","19,943","22,231","25,459","19,948","12,500","5,978","1,093","276","72,635","72,635","3,803","5,495","11,505","9,910","10,834","12,784","9,903","5,518","2,415","371","97","76,749","76,749","3,724","5,518","11,911","10,033","11,397","12,675","10,045","6,982","3,563","722","179","144,683","144,683","6,984","10,381","22,802","19,470","20,969","24,957","20,352","11,637","6,149","950","32","70,183","70,183","3,540","5,157","10,973","9,707","10,136","12,574","10,139","5,176","2,482","290","9","74,500","74,500","3,444","5,224","11,829","9,763","10,833","12,383","10,213","6,461","3,667","660","23"
"서울특별시 중구 (1114000000)","125,249","125,249","8,117","8,533","17,745","20,439","20,094","21,115","15,217","9,440","3,762","627","160","62,204","62,204","4,098","4,285","8,934","10,413","10,430","10,796","7,509","4,157","1,343","188","51","63,045","63,045","4,019","4,248","8,811","10,026","9,664","10,319","7,708","5,283","2,419","439","109","125,709","125,709","7,927","8,129","18,102","20,395","19,801","21,022","15,745","9,832","3,924","666","166","62,253","62,253","3,991","4,124","9,001","10,348","10,213","10,709","7,843","4,374","1,392","211","47","63,456","63,456","3,936","4,005","9,101","10,047","9,588","10,313","7,902","5,458","2,532","455","119","125,725","125,725","7,597","7,693","18,267","20,770","18,968","21,024","16,276","10,064","4,173","714","179","61,947","61,947","3,806","3,900","8,950","10,432","9,776","10,734","8,071","4,504","1,500","219","55","63,778","63,778","3,791","3,793","9,317","10,338","9,192","10,290","8,205","5,560","2,673","495","124","126,171","126,171","7,389","7,308","18,473","20,662","18,491","20,956","16,948","10,380","4,542","835","187","61,910","61,910","3,758","3,722","8,937","10,344","9,408","10,663","8,453","4,636","1,676","252","61","64,261","64,261","3,631","3,586","9,536","10,318","9,083","10,293","8,495","5,744","2,866","583","126","125,240","125,240","6,836","6,773","18,586","20,107","18,011","20,702","17,551","10,733","4,836","900","205","61,222","61,222","3,505","3,408","8,851","10,027","9,222","10,508","8,714","4,839","1,800","283","65","64,018","64,018","3,331","3,365","9,735","10,080","8,789","10,194","8,837","5,894","3,036","617","140","122,499","122,499","6,299","6,474","18,309","19,886","17,379","20,043","18,083","10,221","4,967","812","26","59,630","59,630","3,265","3,206","8,477","9,909","8,898","10,166","9,023","4,633","1,821","221","11","62,869","62,869","3,034","3,268","9,832","9,977","8,481","9,877","9,060","5,588","3,146","591","15"
"서울특별시 용산구 (1117000000)","230,241","230,241","16,343","18,815","31,289","38,159","39,497","35,996","25,270","16,570","6,807","1,180","315","111,601","111,601","8,372","9,780","15,310","18,889","19,643","17,785","11,790","7,069","2,489","386","88","118,640","118,640","7,971","9,035","15,979","19,270","19,854","18,211","13,480","9,501","4,318","794","227","229,161","229,161","15,310","18,008","31,993","38,016","38,441","35,846","25,834","16,875","7,264","1,262","312","110,878","110,878","7,849","9,266","15,653","18,933","19,044","17,666","12,145","7,204","2,639","395","84","118,283","118,283","7,461","8,742","16,340","19,083","19,397","18,180","13,689","9,671","4,625","867","228","228,999","228,999","14,706","17,149","32,515","38,285","37,130","36,247","26,537","16,995","7,733","1,365","337","110,640","110,640","7,601","8,731","15,766","19,109","18,282","17,890","12,571","7,325","2,853","421","91","118,359","118,359","7,105","8,418","16,749","19,176","18,848","18,357","13,966","9,670","4,880","944","246","228,670","228,670","14,132","16,391","32,837","38,033","36,159","36,459","27,485","17,122","8,176","1,523","353","110,356","110,356","7,310","8,363","15,830","18,977","17,798","18,020","13,042","7,388","3,055","475","98","118,314","118,314","6,822","8,028","17,007","19,056","18,361","18,439","14,443","9,734","5,121","1,048","255","230,040","230,040","13,496","15,609","33,485","38,069","35,698","37,070","28,840","17,203","8,572","1,627","371","110,722","110,722","6,970","7,932","15,925","19,032","17,529","18,344","13,760","7,401","3,219","503","107","119,318","119,318","6,526","7,677","17,560","19,037","18,169","18,726","15,080","9,802","5,353","1,124","264","222,953","222,953","12,653","14,692","32,778","37,719","33,781","36,122","29,169","15,960","8,591","1,417","71","107,210","107,210","6,523","7,444","15,432","18,641","16,651","17,821","14,068","6,977","3,206","427","20","115,743","115,743","6,130","7,248","17,346","19,078","17,130","18,301","15,101","8,983","5,385","990","51"
"서울특별시 성동구 (1120000000)","299,259","299,259","23,593","24,490","44,196","51,486","50,163","48,071","31,058","18,723","6,394","887","198","148,326","148,326","11,970","12,330","22,457","25,846","25,537","24,343","14,928","8,343","2,278","240","54","150,933","150,933","11,623","12,160","21,739","25,640","24,626","23,728","16,130","10,380","4,116","647","144","304,808","304,808","23,437","23,854","45,940","52,396","50,183","48,614","32,557","19,691","6,994","927","215","150,368","150,368","11,951","11,933","23,166","26,137","25,421","24,489","15,661","8,784","2,519","250","57","154,440","154,440","11,486","11,921","22,774","26,259","24,762","24,125","16,896","10,907","4,475","677","158","308,221","308,221","23,077","22,969","46,897","53,359","49,231","49,449","34,279","20,166","7,535","1,030","229","151,359","151,359","11,749","11,523","23,266","26,467","24,898","24,764","16,629","8,986","2,739","275","63","156,862","156,862","11,328","11,446","23,631","26,892","24,333","24,685","17,650","11,180","4,796","755","166","300,889","300,889","21,983","21,435","45,985","50,964","47,169","48,446","35,133","20,424","8,014","1,102","234","147,273","147,273","11,226","10,733","22,759","25,122","23,710","24,243","17,031","9,093","2,989","303","64","153,616","153,616","10,757","10,702","23,226","25,842","23,459","24,203","18,102","11,331","5,025","799","170","293,556","293,556","20,449","19,815","45,043","48,905","45,020","47,248","36,534","20,586","8,520","1,185","251","143,387","143,387","10,469","9,891","22,271","24,032","22,575","23,582","17,809","9,170","3,185","331","72","150,169","150,169","9,980","9,924","22,772","24,873","22,445","23,666","18,725","11,416","5,335","854","179","285,990","285,990","19,222","18,903","43,463","46,815","43,346","46,154","37,768","20,111","9,002","1,158","48","139,380","139,380","9,797","9,436","21,395","23,032","21,733","22,846","18,458","8,951","3,419","299","14","146,610","146,610","9,425","9,467","22,068","23,783","21,613","23,308","19,310","11,160","5,583","859","34"
"서울특별시 광진구 (1121500000)","357,215","357,215","25,222","32,260","59,460","61,798","59,439","56,510","35,636","19,421","6,378","917","174","174,797","174,797","12,938","16,541","28,872","30,909","29,307","27,658","17,002","9,069","2,240","224","37","182,418","182,418","12,284","15,719","30,588","30,889","30,132","28,852","18,634","10,352","4,138","693","137","357,703","357,703","24,212","30,875","60,549","61,198","58,472","56,514","37,178","20,556","6,957","1,015","177","174,414","174,414","12,465","15,798","29,167","30,526","28,757","27,569","17,793","9,512","2,534","254","39","183,289","183,289","11,747","15,077","31,382","30,672","29,715","28,945","19,385","11,044","4,423","761","138","355,559","355,559","23,182","29,234","61,256","60,447","56,164","56,427","38,679","21,347","7,550","1,083","190","172,794","172,794","11,914","14,930","29,332","29,945","27,685","27,501","18,512","9,832","2,812","291","40","182,765","182,765","11,268","14,304","31,924","30,502","28,479","28,926","20,167","11,515","4,738","792","150","351,350","351,350","21,657","27,573","61,751","58,175","54,490","55,638","40,451","21,943","8,262","1,205","205","170,262","170,262","11,115","14,060","29,386","28,756","26,886","27,147","19,274","10,097","3,166","332","43","181,088","181,088","10,542","13,513","32,365","29,419","27,604","28,491","21,177","11,846","5,096","873","162","346,682","346,682","19,572","25,931","62,940","55,983","52,482","54,541","42,460","22,428","8,850","1,277","218","167,310","167,310","9,977","13,219","29,521","27,696","25,883","26,600","20,219","10,314","3,466","361","54","179,372","179,372","9,595","12,712","33,419","28,287","26,599","27,941","22,241","12,114","5,384","916","164","339,996","339,996","17,744","24,774","61,616","54,715","50,470","53,801","44,152","21,933","9,495","1,246","50","164,058","164,058","9,116","12,568","28,844","27,157","24,860","26,363","20,992","10,029","3,780","337","12","175,938","175,938","8,628","12,206","32,772","27,558","25,610","27,438","23,160","11,904","5,715","909","38"
"서울특별시 동대문구 (1123000000)","355,069","355,069","25,072","29,436","54,069","55,372","57,140","56,834","41,351","25,875","8,503","1,175","242","177,640","177,640","12,878","14,999","28,021","28,629","29,472","28,476","19,821","11,765","3,176","335","68","177,429","177,429","12,194","14,437","26,048","26,743","27,668","28,358","21,530","14,110","5,327","840","174","350,647","350,647","23,694","27,914","54,166","53,127","55,790","55,953","42,357","26,911","9,179","1,310","246","175,324","175,324","12,167","14,266","27,992","27,599","28,726","28,052","20,364","12,195","3,540","352","71","175,323","175,323","11,527","13,648","26,174","25,528","27,064","27,901","21,993","14,716","5,639","958","175","348,052","348,052","22,896","26,533","54,289","52,789","53,730","55,423","43,292","27,508","9,912","1,421","259","173,567","173,567","11,792","13,495","27,736","27,299","27,734","27,822","20,980","12,387","3,854","399","69","174,485","174,485","11,104","13,038","26,553","25,490","25,996","27,601","22,312","15,121","6,058","1,022","190","346,194","346,194","22,115","25,227","55,028","51,458","52,463","54,608","44,789","27,942","10,763","1,525","276","172,113","172,113","11,361","12,792","27,777","26,673","27,052","27,424","21,627","12,597","4,275","455","80","174,081","174,081","10,754","12,435","27,251","24,785","25,411","27,184","23,162","15,345","6,488","1,070","196","342,837","342,837","20,788","23,647","56,331","50,175","50,630","53,262","46,393","28,195","11,521","1,582","313","169,769","169,769","10,662","11,966","27,978","25,917","26,124","26,854","22,400","12,737","4,574","463","94","173,068","173,068","10,126","11,681","28,353","24,258","24,506","26,408","23,993","15,458","6,947","1,119","219","337,400","337,400","19,590","22,767","56,271","49,023","49,002","52,243","47,532","27,290","12,143","1,470","69","166,646","166,646","10,032","11,567","27,506","25,196","25,265","26,491","23,043","12,323","4,816","388","19","170,754","170,754","9,558","11,200","28,765","23,827","23,737","25,752","24,489","14,967","7,327","1,082","50"
"서울특별시 중랑구 (1126000000)","411,005","411,005","29,145","34,792","58,560","64,909","66,466","72,772","48,476","26,198","8,380","1,153","154","204,900","204,900","14,840","18,051","29,460","33,855","33,784","36,234","23,422","12,068","2,881","268","37","206,105","206,105","14,305","16,741","29,100","31,054","32,682","36,538","25,054","14,130","5,499","885","117","408,226","408,226","28,018","32,554","58,319","63,448","64,652","72,314","50,449","27,945","9,113","1,249","165","203,325","203,325","14,315","16,866","29,425","33,066","33,016","35,798","24,481","12,763","3,267","289","39","204,901","204,901","13,703","15,688","28,894","30,382","31,636","36,516","25,968","15,182","5,846","960","126","403,209","403,209","26,293","30,589","57,490","62,177","61,536","72,008","52,463","29,329","9,783","1,372","169","200,419","200,419","13,448","15,675","29,011","32,230","31,650","35,526","25,508","13,362","3,662","305","42","202,790","202,790","12,845","14,914","28,479","29,947","29,886","36,482","26,955","15,967","6,121","1,067","127","397,015","397,015","24,712","28,532","56,251","59,522","59,315","70,861","54,979","30,337","10,805","1,515","186","196,959","196,959","12,733","14,594","28,185","30,761","30,550","35,033","26,722","13,833","4,155","352","41","200,056","200,056","11,979","13,938","28,066","28,761","28,765","35,828","28,257","16,504","6,650","1,163","145","394,702","394,702","23,064","26,759","56,112","58,124","57,883","69,528","58,222","31,445","11,758","1,601","206","195,165","195,165","11,921","13,643","27,793","29,956","29,951","34,267","28,254","14,384","4,582","365","49","199,537","199,537","11,143","13,116","28,319","28,168","27,932","35,261","29,968","17,061","7,176","1,236","157","387,350","387,350","21,285","25,432","54,128","57,025","55,710","67,518","60,705","31,176","12,702","1,602","67","191,112","191,112","10,961","12,917","26,637","29,325","28,844","33,407","29,431","14,208","5,012","352","18","196,238","196,238","10,324","12,515","27,491","27,700","26,866","34,111","31,274","16,968","7,690","1,250","49"
"서울특별시 성북구 (1129000000)","450,355","450,355","35,453","43,041","64,375","67,183","78,758","69,510","48,775","30,941","10,563","1,451","305","219,951","219,951","18,181","21,953","31,990","33,499","39,580","33,902","22,756","13,804","3,834","374","78","230,404","230,404","17,272","21,088","32,385","33,684","39,178","35,608","26,019","17,137","6,729","1,077","227","444,055","444,055","33,599","41,755","63,881","64,447","76,956","68,590","49,697","31,940","11,309","1,569","312","216,556","216,556","17,201","21,302","31,805","32,072","38,539","33,536","23,260","14,167","4,187","410","77","227,499","227,499","16,398","20,453","32,076","32,375","38,417","35,054","26,437","17,773","7,122","1,159","235","435,868","435,868","31,323","40,086","63,590","62,008","73,259","68,347","50,620","32,478","12,097","1,728","332","211,904","211,904","16,071","20,452","31,413","30,854","36,467","33,540","23,718","14,254","4,597","453","85","223,964","223,964","15,252","19,634","32,177","31,154","36,792","34,807","26,902","18,224","7,500","1,275","247","442,650","442,650","30,994","39,102","66,270","62,041","72,541","69,841","53,047","33,198","13,357","1,896","363","214,437","214,437","15,859","19,980","32,366","30,843","35,847","34,323","25,035","14,451","5,147","491","95","228,213","228,213","15,135","19,122","33,904","31,198","36,694","35,518","28,012","18,747","8,210","1,405","268","437,153","437,153","28,822","37,145","66,972","59,843","69,839","69,381","54,897","33,568","14,229","2,073","384","210,810","210,810","14,723","18,918","32,219","29,773","34,424","34,207","25,747","14,662","5,510","531","96","226,343","226,343","14,099","18,227","34,753","30,070","35,415","35,174","29,150","18,906","8,719","1,542","288","430,528","430,528","27,326","35,986","65,580","58,415","67,446","69,280","56,803","32,464","15,136","2,027","65","207,578","207,578","13,968","18,296","31,395","29,213","33,248","34,156","26,706","14,133","5,948","504","11","222,950","222,950","13,358","17,690","34,185","29,202","34,198","35,124","30,097","18,331","9,188","1,523","54"
"서울특별시 강북구 (1130500000)","327,195","327,195","21,631","28,351","43,432","47,400","54,538","54,834","41,217","26,426","8,027","1,098","241","160,861","160,861","11,068","14,639","21,943","24,836","27,661","26,695","18,830","11,797","3,044","285","63","166,334","166,334","10,563","13,712","21,489","22,564","26,877","28,139","22,387","14,629","4,983","813","178","324,479","324,479","20,453","26,814","44,012","45,371","53,260","54,441","42,069","27,849","8,811","1,182","217","158,918","158,918","10,461","13,825","22,014","23,858","26,939","26,357","19,387","12,320","3,393","315","49","165,561","165,561","9,992","12,989","21,998","21,513","26,321","28,084","22,682","15,529","5,418","867","168","319,164","319,164","18,921","25,261","43,842","43,446","50,661","54,270","42,837","28,854","9,574","1,269","229","156,071","156,071","9,728","12,997","21,770","22,801","25,747","26,389","19,827","12,690","3,710","358","54","163,093","163,093","9,193","12,264","22,072","20,645","24,914","27,881","23,010","16,164","5,864","911","175","313,954","313,954","17,420","23,660","43,350","41,035","48,929","53,606","44,177","29,587","10,557","1,399","234","153,235","153,235","8,960","12,188","21,376","21,525","25,002","26,064","20,609","12,921","4,142","390","58","160,719","160,719","8,460","11,472","21,974","19,510","23,927","27,542","23,568","16,666","6,415","1,009","176","308,055","308,055","15,714","22,027","42,944","38,757","46,718","52,642","45,892","30,087","11,516","1,509","249","150,143","150,143","8,162","11,319","21,044","20,357","23,936","25,793","21,431","13,005","4,611","423","62","157,912","157,912","7,552","10,708","21,900","18,400","22,782","26,849","24,461","17,082","6,905","1,086","187","299,182","299,182","14,148","20,796","41,001","37,120","43,923","51,700","47,172","29,304","12,507","1,466","45","145,705","145,705","7,312","10,667","20,085","19,393","22,624","25,494","22,078","12,620","5,026","395","11","153,477","153,477","6,836","10,129","20,916","17,727","21,299","26,206","25,094","16,684","7,481","1,071","34"
