"시점","연령별(1)","연령별(2)",항목,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"시점","연령별(1)","연령별(2)",항목,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
"2022 2/4","계","소계",한국인,143624,122088,222263,283821,339893,337330,388509,433559,296653,314791,508066,473674,305623,367584,444548,573045,394850,231565,376437,385898,486946,407672,531777,662961,461630
"2022 2/4","계","60~64세",한국인,11492,9933,16693,21952,25408,26384,34944,32180,26141,28937,39992,37982,22706,23582,34309,44465,31830,20226,27261,28265,33158,25957,32680,49082,37361
"2022 2/4","계","65~69세",한국인,8913,8066,12668,16085,18963,21198,26294,25051,20960,22718,31136,29514,17351,17718,26574,34992,25728,14750,20952,22205,26589,21831,28646,39201,29718
"2022 2/4","계","70~74세",한국인,6304,5767,8916,11237,12797,15270,18322,18212,16330,15764,21637,21877,12674,12879,18210,24151,19050,10596,15690,17019,21136,15719,20939,25872,19793
"2022 2/4","계","75~79세",한국인,5333,4610,7070,8994,9632,12382,13582,14713,13117,12130,16320,17236,10715,10672,12055,16559,13582,7772,11640,13092,16034,11585,15041,17325,13078
"2022 2/4","계","80~84세",한국인,4268,3464,5752,6382,6794,8748,9291,10955,9290,9052,12112,12423,8311,8073,7913,10921,8978,5194,8314,8980,10708,7079,8971,10400,8030
"2022 2/4","계","85~89세",한국인,2122,1770,3079,3031,3133,4011,4154,4998,3930,4161,6043,5668,4051,3992,3910,5432,3970,2259,4227,4262,4383,3516,4239,5351,3807
"2022 2/4","계","90~94세",한국인,745,685,1182,968,1050,1250,1327,1683,1235,1407,2154,1718,1282,1379,1419,2069,1262,728,1291,1421,1399,1380,1760,2071,1507
"2022 2/4","계","95~99세",한국인,206,155,287,211,251,273,296,386,266,323,464,403,299,302,334,471,293,171,295,381,313,383,484,541,371
"2022 2/4","계","100세 이상",한국인,40,36,77,53,55,68,71,74,48,84,90,73,76,71,54,89,50,32,48,85,74,102,102,96,78
"2022 3/4","계","소계",한국인,141978,120969,219275,282250,338257,337106,386390,431827,294876,312788,505503,470289,305149,365266,442145,570368,393181,230504,376216,383637,486787,405076,530103,660211,460617
"2022 3/4","계","60~64세",한국인,11259,9825,16242,21669,25277,26128,34677,31751,25937,28689,39664,37623,22520,23300,34171,43913,31612,20257,27016,27729,32889,25454,32141,48624,37193
"2022 3/4","계","65~69세",한국인,8871,8047,12628,16256,19045,21310,26636,25271,21070,22973,31525,29753,17510,17840,26850,35340,26046,14886,21201,22465,26813,21850,28813,39608,29972
"2022 3/4","계","70~74세",한국인,6187,5745,8673,11204,12934,15365,18372,18236,16310,15850,21850,21749,12646,12855,18344,24348,19070,10562,15690,16885,21146,15722,20972,26188,20062
