"시점","항목","연령별(1)",수원시,용인시,성남시,부천시,안산시,화성시,안양시,평택시,시흥시,김포시,광명시,광주시,군포시,이천시,오산시,하남시,안성시,의왕시,여주시,과천시,양평군,고양시,남양주시,의정부시,파주시,양주시,구리시,포천시,동두천시,가평군,연천군
"2014","계","0~4세",60295,54855,42335,36492,31301,37364,25759,23289,18846,21656,17785,16876,15488,10844,14853,6633,9093,7851,4634,2665,3726,44031,34290,18269,23327,10071,8009,5806,4390,2003,1906
"2014","계","5~9세",58506,60038,41835,36313,32673,38535,25818,23484,20900,20198,17950,15198,14411,10979,14012,6778,9404,7567,4761,3236,4245,47645,36971,19509,23543,11284,8702,6394,4604,2181,1557
"2014","계","10~14세",67208,62599,50851,42037,41320,36208,31834,26242,24395,19456,19090,15409,15992,12022,12686,7189,9907,8224,5597,4209,4738,59160,38163,23502,23926,12086,10532,7996,5105,2670,1960
"2014","계","15~19세",83472,64864,62976,56681,55696,33412,41869,30618,30185,20140,22106,17473,18907,13904,12834,8613,11246,10554,6717,5377,5389,73604,42119,29402,25376,13105,13140,10108,6054,3307,2320
"2014","계","20~24세",90956,58292,67793,65982,57719,27775,45850,29468,29556,19659,22911,17742,20323,13052,12664,9476,10771,11592,6701,5204,5662,75527,39701,30776,25472,12405,13676,10262,5952,3256,2877
"2014","계","25~29세",84048,49157,67863,61100,47328,29669,41217,26521,23083,17317,21820,17100,19230,12723,13450,9089,9934,10438,5487,4453,4743,59492,32413,25156,25990,10110,11433,8361,5223,2880,2550
"2014","계","30~34세",102493,73363,83416,70691,54566,48488,47718,35495,29733,28200,29903,26430,24847,15847,21754,11550,14038,12229,7032,4592,5537,68287,45866,30564,32626,13638,13538,9030,6679,3228,2598
"2014","계","35~39세",100192,89458,77921,65623,55191,56287,44557,37056,33571,32219,30357,26107,23528,16454,22370,11637,14543,12297,7332,4427,6264,75778,55142,32007,34230,15916,14421,9659,7228,3444,2359
"2014","계","40~44세",111505,104052,91875,75406,69428,57336,53771,42741,41347,33434,33212,28262,26886,17938,20883,13276,16029,14128,8582,6433,7977,101738,64652,40675,40113,19912,17979,12871,8680,4384,3069
"2014","계","45~49세",107434,85556,86731,76445,72431,44524,55218,40097,41771,28456,29643,25755,25391,17295,16953,12431,15000,13981,9160,6865,8101,98774,56214,39486,34543,17920,17875,14257,8295,4865,3326
"2014","계","50~54세",98888,68630,83826,81690,66065,37172,55626,37126,35949,26548,28108,24879,25330,16829,14227,13467,14825,14637,9768,6669,9743,92004,51347,38466,31608,16860,17222,15438,8234,5712,3973
"2014","계","55~59세",72006,53303,70430,68540,46023,28905,46462,29231,23780,22443,25336,22423,20373,14162,10729,12702,13007,12202,9243,5226,10093,68017,42794,31959,26027,14660,13598,13931,7311,6034,4217
"2014","계","60~64세",42753,38515,44813,40131,24355,19327,27815,18619,12688,14878,16359,14763,11376,9095,6436,8709,9109,7226,6698,3073,7633,38001,28709,20450,16558,9498,8167,8406,4851,4375,2764
"2014","계","65~69세",32044,33935,35111,27517,17195,15053,19558,15141,9296,12255,11827,11055,8331,7071,5015,6354,7152,5146,5310,2237,6414,30954,23294,16798,14491,8214,6314,7011,4387,3563,2765
"2014","계","70~74세",25477,27795,27718,20775,14561,12085,15372,13641,7876,9778,9343,8511,6916,6475,4204,4692,6596,4078,5132,1974,5921,28536,19303,14486,13578,7019,5297,6351,4344,3615,2721
"2014","계","75~79세",18522,18941,19373,15175,11336,9610,11068,10978,6074,6971,6530,5641,5449,5237,3035,3162,5685,3037,4196,1559,4625,22796,13441,10450,10331,4959,3618,5179,3379,2888,2285
"2014","계","80~84세",10599,10191,11036,8747,6383,5526,6679,5792,3332,3944,3700,3060,3301,3010,1511,1706,3421,1928,2410,1030,2658,13070,6938,5456,5664,2633,1960,2772,1693,1682,1204
"2014","계","85~89세",5321,5060,5649,4222,2976,2442,3145,2680,1544,1929,1725,1468,1598,1417,631,881,1454,910,1081,598,1248,5988,3287,2455,2573,1191,877,1324,797,742,596
"2014","계","90~94세",1943,1880,2187,1513,1060,853,1106,942,540,640,605,540,552,518,235,376,538,351,426,219,498,2055,1198,876,984,441,329,494,260,301,213
"2014","계","95~99세",374,439,528,342,193,221,240,227,116,144,147,101,134,109,56,91,106,73,84,72,119,491,288,210,255,114,80,98,82,50,76
"2014","계","100세 이상",192,103,341,164,76,70,127,167,57,45,103,65,45,33,27,84,38,33,35,38,45,206,126,160,133,36,53,50,47,33,27
"2015","계","0~4세",59851,53465,41258,35174,29681,41436,25075,23420,18571,21676,16952,17370,14817,10564,13862,8227,8475,7459,4461,2542,3720,44543,33961,17815,23324,9897,7747,5612,4194,1981,1886
"2015","계","5~9세",59254,60793,41901,36101,31749,43609,25855,24349,21037,21493,17803,15859,14389,10907,13897,8350,9292,7572,4725,3058,4426,48525,38195,19524,24711,11325,8653,6334,4744,2220,1568
"2015","계","10~14세",61737,59236,46263,38138,36783,37356,28952,24433,22426,19011,17663,14952,14745,11089,11899,7364,9172,7350,5174,3828,4562,54563,36540,21587,23050,11493,9540,7156,4674,2496,1804
"2015","계","15~19세",81539,66304,61692,54156,53225,36385,40450,30570,29645,20473,21733,17806,18585,13834,12838,9202,11098,10412,6625,5073,5453,72615,42568,28868,26130,13261,12881,9805,5929,3265,2283
"2015","계","20~24세",93381,61381,67985,65576,58913,31902,45954,31039,30547,20415,22984,18950,20380,13289,12853,10311,10973,11695,6799,5221,5724,78302,41945,31976,26490,12856,14189,10449,6184,3389,3167
"2015","계","25~29세",85602,49929,67754,60527,47459,32839,41110,27576,23737,17511,20960,17597,19213,12351,13116,9861,9546,10283,5504,4509,4910,62444,33151,25629,25888,10204,11349,8493,5059,2818,2722
"2015","계","30~34세",98609,68601,79493,67092,50414,51796,45646,34932,28105,26333,27556,26199,23458,15094,19902,12721,12548,11348,6550,4469,5296,67917,43820,29048,32330,12837,12768,8586,6378,3109,2496
"2015","계","35~39세",101844,89107,78368,65889,53519,63817,44595,37983,33526,33431,29786,28077,23552,16304,22099,14445,14309,12289,7337,4285,6337,76856,56204,32068,35431,15785,14278,9329,7018,3421,2430
"2015","계","40~44세",108701,102352,87197,71799,65251,61940,51300,42624,40099,34197,32336,28587,25768,17292,20626,14543,15533,13314,8376,5869,8053,97859,64452,39098,39901,19611,17093,12211,8382,4254,2961
"2015","계","45~49세",108983,90405,88263,75389,71514,50170,54996,41513,42147,29661,29952,27256,25539,17548,17319,13705,15131,14098,9214,6691,8231,101371,58767,40037,36577,18479,18058,13922,8457,4847,3118
"2015","계","50~54세",98584,70859,81752,78625,66093,40304,53805,37653,36940,26758,27535,25400,24785,16609,14320,14022,14471,14356,9643,6529,9430,93326,52356,38197,32279,16924,17086,15054,8165,5540,3833
"2015","계","55~59세",78677,56876,73666,73105,50374,33124,49110,32033,26665,24071,26251,24543,21910,15212,11431,14251,13788,12996,9778,5531,10661,74949,46390,34022,28083,15714,14426,14862,7722,6274,4275
