"","년도","나이","서울특별시","부산광역시","대구광역시","인천광역시","광주광역시","대전광역시","울산광역시","세종특별시","경기도","강원도","충청북도","충청남도","전라북도","전라남도","경상북도","경상남도","제주특별시"
"1",2014,"0-9",793992,263767,208524,270156,145156,148662,114860,19524,1243973,124511,142815,196099,161307,157224,222679,316462,61663
"2",2014,"10-19",1044513,366769,307096,339868,207671,196196,148060,17155,1533881,178979,188890,237378,228459,220929,291169,402689,79202
"3",2014,"20-29",1457951,456897,323936,398391,197540,210031,156137,17532,1608430,181760,194013,242365,217542,204149,312801,391686,70883
"4",2014,"30-39",1713666,504816,353237,461260,227820,237696,182664,27648,1991551,194502,220756,300806,239288,228077,356199,486893,84968
"5",2014,"40-49",1729469,576487,446088,521070,260090,271600,216238,26757,2303367,252750,265726,333778,303136,296355,433992,585426,107887
"6",2014,"50-59",1604160,630397,415681,482300,212836,237648,196210,20781,1896033,267736,255182,313612,293042,304092,451711,542595,92145
"7",2014,"60-69",980220,401805,235408,232989,119644,124378,90542,12369,936958,160635,146731,196659,198061,214646,292417,309526,53120
"8",2014,"70-79",568848,235574,148568,138554,74942,74926,44785,9688,599700,130099,115403,163686,157179,192592,235172,218473,38415
"9",2014,"80-89",177339,72728,48605,49951,26232,26713,14847,4081,210845,45895,43469,68455,64428,76455,92195,86183,15722
"10",2014,"90-99",28404,8754,5620,7451,3653,3699,1906,556,30333,7021,5548,8814,8515,10560,11767,9768,3140
"11",2014,"100-",4671,1407,501,618,300,260,128,34,2759,554,400,621,603,701,692,556,201
"12",2015,"0-9",783299,267227,208115,271758,143700,145049,116241,29825,1251234,123275,142319,197236,159824,158142,223394,317867,63183
"13",2015,"10-19",985790,345503,289590,324530,197005,184964,139958,23398,1479739,171073,179628,229214,217813,209957,277327,384287,77313
"14",2015,"20-29",1447221,456514,326755,402113,198686,210749,158615,23043,1644870,184802,196456,244233,218698,206551,311383,394794,73565
"15",2015,"30-39",1668253,493958,342633,455898,221036,228720,180833,40025,1969170,189754,216258,296909,232517,224820,347557,476814,85811
"16",2015,"40-49",1701609,568218,438674,516105,258049,267008,211988,37370,2302937,250407,262133,333108,299535,291730,428513,580967,110642
"17",2015,"50-59",1588333,619703,419653,494119,217366,238664,201390,25872,1962003,269286,260270,318857,295583,308904,456781,551878,96129
"18",2015,"60-69",1037752,432899,253693,255834,127348,134281,100468,15614,1027712,171452,158194,212781,210933,224235,314821,337382,57880
"19",2015,"70-79",582367,239641,148884,142147,76489,76136,45817,10351,616198,131730,114586,160439,155007,190822,229763,216802,39258
"20",2015,"80-89",192801,79128,53282,54650,28346,29005,16011,4718,232931,49542,47691,74759,70437,82190,99895,92498,17326
"21",2015,"90-99",29719,9497,6007,7960,3860,3918,2074,634,32804,7578,5977,9433,8725,10892,12658,10817,3075
"22",2015,"100-",5037,1489,543,701,314,281,139,34,3008,608,440,680,639,753,734,596,213
"23",2016,"0-9",761314,267087,207036,269510,140957,142076,115921,34911,1251110,121381,141545,197206,157372,156736,222272,315476,64258
"24",2016,"10-19",934205,325210,274127,311493,187604,175916,132712,27125,1439515,163401,171795,222359,207621,199894,264658,367662,75741
"25",2016,"20-29",1442701,455199,329927,406622,201402,212796,158704,26523,1687250,184869,198134,246298,219336,206423,308303,397368,76573
"26",2016,"30-39",1620974,483516,333768,450143,213395,222879,177144,45951,1955946,185407,212590,294535,225651,219492,339593,466247,86909
"27",2016,"40-49",1678172,558328,431822,512174,255953,264265,206835,44188,2312530,246372,259637,335721,295584,286240,421947,574855,112430
"28",2016,"50-59",1570037,610400,422215,502587,222914,239111,205095,29440,2025958,271727,264834,324122,299275,314488,460007,561503,100948
"29",2016,"60-69",1076270,454451,270182,274298,132868,143650,108980,18159,1110220,182332,170236,225825,218693,231176,336251,360856,61974
"30",2016,"70-79",602541,246583,150535,147609,79294,77775,47361,10793,640149,132782,114117,158809,155956,189990,225768,218363,40694
"31",2016,"80-89",207716,85833,57934,59356,30370,31484,17214,5219,255340,53788,51888,81086,75319,87370,107402,99237,18738
"32",2016,"90-99",31211,10337,6420,8523,4102,4110,2200,690,35457,8091,6378,10028,9287,11346,13386,11665,3101
"33",2016,"100-",5475,1585,591,754,355,308,138,49,3305,656,471,738,697,759,811,639,231
"34",2017,"0-9",728462,258732,201043,259925,135873,135218,112441,40172,1226500,116726,137206,193878,150817,151229,215451,307415,64110
"35",2017,"10-19",894656,310044,261756,301563,179807,168005,126894,32063,1410636,156946,165826,218457,199956,191645,254396,356902,74873
"36",2017,"20-29",1447115,451791,332212,409811,203610,213973,156966,30266,1721524,185914,199663,248359,219942,207412,305390,397268,79751
"37",2017,"30-39",1579189,467624,324015,439665,205522,215284,171065,52407,1934989,180188,207682,292363,215957,212235,329087,454065,87312
"38",2017,"40-49",1647989,545052,421146,506584,253204,258705,201695,52120,2313960,242216,255596,336528,291298,281291,414254,566645,114469
"39",2017,"50-59",1553543,599544,424677,507101,225935,239297,207642,33671,2077756,270839,267036,330207,300220,316532,461486,569852,104866
"40",2017,"60-69",1109052,472617,282918,293572,138675,152044,116984,21100,1192377,194407,182281,237184,224916,237209,352151,383935,65842
"41",2017,"70-79",635309,259903,157294,156769,83744,81244,50444,11710,677314,135621,116357,161824,160990,192849,230114,225324,42296
"42",2017,"80-89",223113,92153,62457,63429,32556,33602,18430,5768,276699,57862,55312,86297,79365,93150,113788,105518,20100
"43",2017,"90-99",33479,11579,7098,9332,4499,4541,2418,774,38771,8726,6996,10919,10440,12133,14776,12827,3222
"44",2017,"100-",5519,1614,615,791,345,314,153,49,3369,697,477,754,706,739,813,653,242
"45",2018,"0-9",690368,251442,194953,251301,131277,128497,108363,44452,1209856,112664,133659,189024,143990,145246,207609,296642,63719
"46",2018,"10-19",855121,296145,249672,292324,171887,160537,121540,36695,1384896,150060,159713,213551,190798,183499,245099,345897,73719
"47",2018,"20-29",1449790,444737,330845,409794,205743,213955,153359,34031,1749054,182891,200941,248443,217554,206817,300125,394180,81714
